Decade,Year,Date,Location,Operator,Op_Code,Route,Type,Make_Type,Aboard,Fatalities,Summary
1951-1960,1952,1952-06-09,"Near Farnsborough, England",Private - de Havilland Aircraft,Passenger,,de Havilland 110,de,1.0,1.0,"One of two engines of the aircraft fell into a crowd at a performance at the Farnborough air show. The aircraft crashed to the ground 1.5 miles from the grandstands killing the Chief test pilot of de Havilland Aircraft Corporation, John Derry and an observer, Tony Richards. In addition, fifty two people on the ground were killed and over 60 injured. The cause was a structural design fault in the D shaped leading edge section of the wing. When Derry pulled a high G turn, the wing buckled."
1951-1960,1952,1952-10-09,"San Blas, Panama",SAM Colombia,Passenger,,Curtiss C-46,Curtiss,46.0,46.0,
1951-1960,1953,1953-12-17,"Guam, Mariana Islands",Military - U.S. Air Force,Military,,Boeing B-29,Boeing,16.0,11.0,"The aircraft crashed into an officer's housing area after attemping to make an emergency landing with an engine out,at Anderson Air Force Base on Guam."
1951-1960,1952,1952-09-15,"Wadi Halfa, Sudan",Kalinga Airlines,Passenger,,Douglas C-47A,Douglas,3.0,3.0,"A navigational error on the part of the captain. This error was severely aggravated by the lack of proper radio aids from the destination airport, the unserviceability of the aircraft R/T equipment, and to a lesser degree the physical condition of the crew. The secondary cause was the cargo plane coming into close proximity of high ground due to the captains uncertainty of his position."
1951-1960,1952,1952-08-10,"Off Tarbat Ness, Scotland",Military - Royal Air Force,Military,,Avro Shackleton MR-1,Avro,14.0,14.0,Was on air-sea practice when it crashed near Tarbat Ness.
1951-1960,1952,1952-10-14,"San Fransisco do Paula, Brazil",REAL,Passenger,Sao Paulo - Porto Alegre,Douglas DC-3,Douglas,28.0,14.0,After being cleared to land the aircraft struck high ground and burst int flames. Navigational error in not knowing where the aircraft was located. Poor weather.
1951-1960,1952,1952-10-16,"Off Kangnung, South Korea",Military - U.S. Air Force,Military,,Curtiss-Wright C-46D-CU,Curtiss-Wright,25.0,25.0,The aircraft crashed into the Sea of Japan while en route. No signs of the wreckage were ever found and only two bodies were recovered when they washed ashore.
1951-1960,1952,1952-10-29,"Near Flagstaff, Arizona",Military - U.S. Air Force,Military,,Boeing KC-97G Stratofreighter,Boeing,16.0,16.0,Struck Gray Mountain in poor visibility while en route.
1951-1960,1952,1952-06-11,"Lake Chad, Chad",Union Aeromaritime de Transport,Passenger,Fort Lamy - Beirut,Douglas C-54B-1-DC,Douglas,6.0,5.0,
1951-1960,1952,1952-07-11,"Near Summit, Alaska",Military - U.S. Air Force,Military,Elmendorf AFB - Big Delta,Fairchild C-119C,Fairchild,19.0,19.0,"A course deviation led to the aircraft crashing into Mt. McKinley at an elevation of 12,000 ft."
1951-1960,1952,1952-11-14,"Near Seoul, South Korea",Military - U.S. Air Force,Military,,Fairchild C-119C,Fairchild,44.0,44.0,"Struck a mountain at an elevation of 2,000 ft. as it prepared to land at U.S. military base K-16. The mountains were obscured by low clouds."
1951-1960,1952,1952-11-15,"Near Anchorage, Alaska",Military - U.S. Air Force,Military,Elemndorf AFB - Kodiak NAS,Fairchild C-119C,Fairchild,20.0,20.0,Disappeared while en route. No trace of the aircraft was ever found.
1951-1960,1952,1952-11-17,"Shepard, Montana",Military - U.S. Air Force,Military,"Great Falls - Denver, Colorado",Fairchild C-119C-23-FA Flying Boxcar,Fairchild,16.0,9.0,"While en route, a propeller failed and punctured the fuselage after which vibrations caused the No. 1 engine to fall off. The pilot attempted to make an emergency landing. The plane crashed and came to rest in a muddy field."
1951-1960,1952,1952-11-22,"Mount Gannett, Alaska",Military - U.S. Air Force,Military,,Douglas C-124A Globemaster,Douglas,52.0,52.0,"Bound for Elmendorf Air Force Base, the aircraft struck the south slope of Mount Gannett. The plane drifted off course due to high winds."
1951-1960,1952,1952-11-28,"Near Tacoma, Washington",Military - U.S. Air Force,Military,,Douglas C-54G (DC-4),Douglas,38.0,37.0,Crashed in poor visibility and fog after diverting to Great Falls. The No. 3 engine failed and the plane crashed into trees approximately 1 mile southwest of the airport. An 8-year old boy was the only survivor.
1951-1960,1952,1952-06-12,"Near Sofia, Bugaria",TABSO,Passenger,Sofia - Varna,Lisunov Li-2,Lisunov,18.0,18.0,Crashed en route.
1951-1960,1952,1952-06-12,"Off Bermuda-Kindley Field, Bermuda",Cubana de Aviacion,Passenger,Madrid - Azores - Bermuda - Havana,Douglas DC-4,Douglas,41.0,37.0,Crashed dived into the sea approximately 5 miles from the airport shortly after taking off. Cause unknown. The plane was called 'The Star of the East.'
1951-1960,1952,1952-12-20,"Moses Lake, Washington",Military - U.S. Air Force,Military,,Douglas C-124A Globemaster,Douglas,115.0,87.0,Within two minutes after takeoff the aircraft began to lose altitude. It crashed and burned into a snow laden field at the end of the airstrip. Failure of the pilot to remove the rudder and elevator locking pin prior to taking off.
1951-1960,1952,1952-12-21,"Off Miami, Florida",Rutas Aéreas Nacionales SA,Passenger,,Curtiss C-46D,Curtiss,3.0,3.0,Disappeared over the Atlantic. Never found.
1951-1960,1952,1952-12-25,"Off Caracas, Venezuela",Avensa,Passenger,,Douglas DC-3,Douglas,5.0,3.0,Lost altitude and ditched near shore after taking off.
1951-1960,1952,1952-12-25,"Tehran, Iran",Iran Air,Passenger,Abadan - Tehran,Douglas DC-3,Douglas,29.0,27.0,Crashed while landing.
1951-1960,1952,1952-12-30,"Chinmen Island, Taiwan",Philippine Air Lines,Passenger,,Douglas DC-3,Douglas,10.0,2.0,"After takeoff from Laoag an armed man forced his way into the cockpit. He pulled .45-caliber pistol and demanded that the plane be brought to Amoy, in mainland China. The captain took over control from the co-pilot and put the plane into a steep dive. The hijacker did not lose his balance and instead shot and killed the captain. The co-pilot took over control and meanwhile the steward had come up to the cockpit to find out what was going on. As he knocked, the hijacker shot him twice through the cockpit door, killing him. The co-pilot changed course to China and continued at 6000 feet over the China Sea until two Chinese Nationalists T-6 Harvard planes showed up. Both planes chased the DC-3 and sprayed machine gun fire. The pilot managed to escape until he met with other Nationalist planes, who forced the flight to land at Quemoy. At Quemoy the hijacker was arrested."
1951-1960,1953,1953-05-01,"Belfast, Northern Ireland",British European Airways,Passenger,Northolt - Belfast,Vickers Viking 610-1B,Vickers,35.0,27.0,Crashed into approach lights while attempting to land.  Error of judgement on the part of the pilot.
1961-1970,1970,1970-02-13,"Pin-la-Garenne, France",Avia-Taxi,Passenger,,Cessna 402,Cessna,10.0,10.0,
1951-1960,1953,1953-07-01,"Fish Haven, Idaho",Associated Air Transport,Passenger,Boeing Field - Cheyenne,Curtiss C-46,Curtiss,40.0,40.0,"The plane crashed into mountains while en route. Upon entering an area of turbulence, the plane was unable to climb and crashed into trees. Found 5 months later. The inadvertent descent into an area of turbulence and icing which resulted in the pilot's inability to regain a safe altitude."
1951-1960,1953,1953-01-15,"25 nm off Agrigento, Italy",Military -Royal Air Force,Military,,Vickers Valetta Mk1 / Avero Lancaster,Vickers,26.0,26.0,
1951-1960,1953,1953-01-26,"Sinnai, Sardinia, Italy",Linee Aeree Italiane,Passenger,Cagliari - Rome,Douglas DC-3,Douglas,19.0,19.0,Crashed after a wing failed due to overstressing.
1951-1960,1953,1953-02-02,"Off Newfoundland, Canada",Lancashire Aircraft Corporation (Skyways),Passenger,"Lajes, Azores - Gander",Avro 685 York 1,Avro,39.0,39.0,"Last know coordinates 46' 15' N, 46'31'W, over the North Atlantic. A distress message was received. No trace of the aircraft or its occupants were ever found."
1951-1960,1953,1953-03-02,"Muong Sai, Laos",Air Outremer,Passenger,,Douglas DC-3,Douglas,18.0,18.0,Destroyed by shelling.
1951-1960,1953,1953-07-02,"Eysines, France",Autrex,Passenger,,Douglas DC-4,Douglas,20.0,5.0,Crashed into a grove of small trees and burst into flames while trying to land in heavy fog.
1951-1960,1953,1953-09-02,"Cairo, Egypt",Military - Egyptian Air Force,Military,,Curtiss-Wright C-46,Curtiss-Wright,35.0,30.0,Crashed into a hill during a sandstorm.
1951-1960,1953,1953-02-14,"Off Mobile, Alabama",National Airlines,Passenger,Miami - Orlando - New Orleans,Douglas DC-6,Douglas,46.0,46.0,"The aircraft crashed into the Gulf of Mexico off Mobile, Alabama. The aircraft broke up in the turbulence of a 'frontal wave' storm after failure of  the left wing. The loss of control followed by the in-flight failure and separation of portions of the airframe structure while the aircraft was traversing an intense frontal-wave type storm of extremely severe turbulence, the severity and location of which the pilot had not been fully informed."
1951-1960,1953,1953-03-03,"Karachi, Pakistan",Canadian PacifiAir Lines,Passenger,Karachi - Rangoon,de Havilland DH106 Comet 1A,de,11.0,11.0,"The aircraft overran the runway during takeoff. Excessive nose-up attitude of the aircraft during the takeoff run producing a partly stalled condition and excessive drag. The pilot who had only limited experience in the Comet aircraft, elected to takeoff at night at the maximum permissable takeoff for the prevailing conditions. The circumstances required strict adherence to the prescribed takeoff technique, which was not complied with.  First fatal crash of a commercial jet aircraft. The aircraft was named Empress of Hawaii."
1951-1960,1953,1953-04-03,"Windsor Locks, Connecticut",Slick Airways,Passenger,"New York, NY - Winsor Locks, CT",Curtiss C-46F,Curtiss,2.0,2.0,"After missing his first approach to the airport, the pilot displayed poor judgement in attempting a circle under the overcast in rain and at night, rather than execute a standard instrument approach."
1951-1960,1953,1953-03-14,"Kalasahar, India",Orient Airways,Passenger,Delhi - Dacca,Convair CV-240-7,Convair,16.0,16.0,Crashed into a mountain while en route in severe weather. The pilot descended in poor visibility in order to find his position.
1951-1960,1953,1953-03-17,"Off Da Nang, Vietnam",Aigle Azur,Passenger,Hue - Da Nang,Douglas DC-3,Douglas,8.0,8.0,Crashed into the sea in poor weather conditions.
1951-1960,1953,1953-03-18,"Random Island, Newfoundland",Military - U.S. Air Force,Military,Azores - Rapid City AFB,Convair RB-36H,Convair,23.0,23.0,"The aircraft, flying low over the AtlantiOcean, was to have flown higher when it reached the coast. Tail-winds caused the aircraft to arrive earlier and the plane hit a hill in low cloud cover."
1951-1960,1953,1953-03-20,"Alvarado, California",Transocean Air Lines,Passenger,Roswell - Oakland - Guam,Douglas DC-4  (C-54-10-DO),Douglas,35.0,35.0,"The aircraft crashed into a flat barley field and burned. The aircraft first struck the ground with its right wing tip in a near vertical position, cartwheeled and disintegrated. All 30 passengers were maintenance personnel from the 509th Bomb Wing, noted for dropping the atomibombs on Japan. Accumulation of ice on the surfaces of the aircraft in sufficient magnitude to have caused loss of control. Official cause of loss of control unknown."
1951-1960,1953,1953-03-27,"Itapebi, Brazil",Transportes Aéreos Salvador,Passenger,,de Havilland DH-114 Heron 1B,de,14.0,14.0,The pilot aborted the takeoff after loosing the No. 2 engine and was unable to stop on the remaining runway. Error of judgment on the part of the pilot in not continuing the takeoff with three engines still operating
1951-1960,1953,1953-03-29,"Mtara, Tanganyika",Central African Airways,Passenger,Nairobi - Dar-es-Salaam,Vickers 616 Viking 1B,Vickers,13.0,13.0,"Crashed after a wing failed due to metal fatigue cracks after the aircraft encountered strong winds. A wrong type of grease used when fitting press fit bolts to the booms caused corrosion, thus weakening the lower starboard boom at the outboard bolt hole."
1951-1960,1953,1953-10-04,"Off Kingston, Jamaica",Caribbean International Airways,Passenger,,Lockheed 18-56 LodeStar,Lockheed,13.0,13.0,"Lost an engine on takeoff, climbed to 100-200 ft. entering a slight banking turn and crashed into the sea. Failure of the left engine which was due to the cracking of the accessory drive gear. Failure of the pilot to take precautionary steps on hearing the back firing, which was a warning of possible engine failure."
1951-1960,1953,1953-10-04,"Miandivazo, Madagascar",Air France,Passenger,,Junkers JU-5/-3m,Junkers,4.0,4.0,The cargo plane crashed on take off.
1951-1960,1953,1953-04-14,"Near Guwahati, India",Airways,Passenger,,Douglas C-47A,Douglas,3.0,3.0,The cargo plane crashed in the Khasi hills. The port wing failed in the air due to an upload as a result of being subjected to loads greater than those for which it was designed.
1951-1960,1953,1953-04-14,"Selleck, Washington",Miami Airlines,Passenger,Spokane - Ellenburgh,Douglas DC-3 (C-47-DL),Douglas,25.0,7.0,"The aircraft crashed into Cedar Mountain following double engine failure. The progressive failure of both engines, due to the lack of compliance with proper maintenance standards. Spark plugs in both engines had been operated beyond their normal maintenance inspection period and exhibited evidence of a condition conducive to detonation and preignition. There was evidence that detonation and preignition took place in both engines and that  they ultimately failed as a result of master rod bearing failures."
1951-1960,1953,1953-04-16,"NW of Hanoi, Vietnam",Aigle Azur,Passenger,Hanoi - Na San,Douglas DC-3,Douglas,30.0,30.0,Crashed after takeoff due to wing failure.
1951-1960,1953,1953-04-20,"San Francisco Bay, California",Western Airlines,Passenger,Los Angeles - San Francisco - Oakland,Douglas DC-6B,Douglas,10.0,8.0,The aircraft descended below minimum altitude and crashed into the sea. The pilot's action in continuing a descent below the 500 ft. prescribed minimum altitude until the aircraft struck the water. A probable contributing factor to the aircraft striking the water was the sensory illusion experienced by the pilots.
1951-1960,1953,1953-02-05,"Near Jalalogori, West Bengal, India",British Overseas Airways,Passenger,Calcutta - Delhi,de Havilland DH106 Comet 1,de,43.0,43.0,The aircraft crashed 6 minutes after taking off from Dum Dum Airport. The accident occurred during a violent thunderstorm. Wreckage indicated that the aircraft broke up in the air. Failure of both elevator spars caused by a heavy down-load that may have been associated with a pull-up maneuver. Severe gusts encountered in the thundersquall and overcontrolling or loss of control by the pilots when flying through the thunderstorm. The aircraft was nicknamed 'York Victor.'
1951-1960,1953,1953-07-05,"Off Hartland Point, England",Military - Royal Air Force,Military,,Vickers Valetta T-3,Vickers,10.0,10.0,Crashed into the sea.
1951-1960,1953,1953-09-05,"New Delhi, India",Air India,Passenger,Delh - Ahmedabad - Bombay,Douglas DC-3,Douglas,18.0,18.0,"Stalled following takeoff. An error of judgement by the pilot, who executed a steep starboard turn. He could not come out of the overbanked turn in time because of the low altitude. Inexperience of the pilot with the type of the aircraft which he was flying."
1951-1960,1953,1953-11-05,"Prince Rupert, BC, Canada",Canadian PacifiAir Lines,Passenger,"Sandpit, BC - Prince Rupert, BC",Consolidated PBY-5A Catalina,Consolidated,19.0,2.0,Crashed while attempting to land.  Misuse of controls after the aircraft touched down on the water. The aircraft  bounced several times with the final bounce being so severe the nose section was torn off.
1951-1960,1953,1953-05-17,"Near Marshall, Texas",Delta Air Lines,Passenger,Dallas - Shreveport,Douglas DC-3,Douglas,20.0,19.0,"The plane crashed 13 miles east of Marashall Texas, during an approach to Shreveport in a severe thunderstorm. The encountering of conditions in a severe thunderstorm that resulted in loss of effective control of the aircraft and the failure of the captain to adhere to company directives requiring the avoidance of thunderstorms when conditions would allow such action."
1951-1960,1953,1953-05-25,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Passenger,Amsterdam - Paris,Convair CV-240-4,Convair,34.0,0.0,"While taking off the plane reached a height of about  50 ft. after which flaps were retracted. The plane began to lose height and crash landed into a meadow. While no one on the plane died, two girls on a bicycle path were killed."
1951-1960,1953,1953-06-15,"Near Copiapo, Chile",LAN,Passenger,,Lockheed 18 Loadstar,Lockheed,7.0,7.0,Crashed. Engine fire.
1951-1960,1953,1953-06-15,"San Ramon Mtns., Costa Rica",LACSA,Passenger,Palmar Sur - San Isidoro,Douglas DC-3,Douglas,14.0,11.0,Crashed into a mountainside while attempting to land in poor weather.
1951-1960,1953,1953-06-16,"Phou-Lassy, French Indo-China",Aigle Azur,Passenger,Vientiane - Saigon,Douglas DC-3,Douglas,34.0,34.0,Crashed after on-board fire.  Possibly shot down.
1951-1960,1953,1953-06-17,"Sao Paulo, Brazil",Panair do Brasil,Passenger,,Lockheed 049-46-21 Constellation,Lockheed,17.0,17.0,Crashed while on final approach to Sao Paulo. Error of judgement by the crew during poor visibility at night.
1951-1960,1953,1953-06-18,"Tachikawa AFB, Tokyo, Japan",Military - U.S. Air Force,Military,Tachikawa AB - Kimpo AB,Douglas C-124A Globemaster II,Douglas,129.0,129.0,Crashed shortly after taking off from Tachikawa Air Base. Engine failure during takeoff. Premature application of full flaps during a three engine approach resulting in loss of air speed and crash. First aviation disaster to claim more than 100 lives.
1951-1960,1953,1953-12-07,"PacifiOcean, 325 miles east of Wake Island",Transocean Air Lines,Passenger,Wake Island - Honolulu - Oakland,Douglas DC-6A,Douglas,58.0,58.0,"Lost at sea while en route from Wake Island to Honolulu, Hawaii, approximately 325 miles east of Wake Island. Cause not determined, but there was thunderstorms and turbulence in the area. Fourteen bodies and all life rafts were recovered. The plywood panel from the navigator's table was recovered with the words 'falling in' written on it. There is some speculation that a bomb caused the accident. The aircraft was named 'The Royal Hawaiian.'"
1951-1960,1953,1953-07-17,"Near Milton, Florida",Military - U.S. Navy,Military,Whitting NAS - Norfolk NB,Fairchild R4Q-2,Fairchild,46.0,44.0,"The co-pilot failed to maintain a sufficient rate of climb after becoming airborne, struck obstacles and crashed into a wooded area."
1951-1960,1953,1953-07-27,"Near Kanggye, North Korea",Aeroflot,Passenger,,Ilyushin IL-12,Ilyushin,21.0,21.0,Shot down by a U.S. Air Force F-86 jet fighter towards the end of the Korean War. The Russian government claimed the plane was over Chinese air space.
1951-1960,1955,1955-09-29,"Yellowknife, Northwest Territory, Canada",Associated Airways,Passenger,,Avro 685 York C-1,Avro,2.0,1.0,The cargo plane ditched into the Thoa river. Fuel exhaustion.
1951-1960,1953,1953-03-08,"Off Fethiye Point, Turkey",Air France,Passenger,Rome - Beirut,Lockheed L- 749A Constellation,Lockheed,42.0,4.0,The No. 3 engine broke away from the aircraft following severe vibrations causing loss of control of the No. 4 engine and necessitating a ditching 1.5 miles from the coast. Failure in flight of a propeller blade. Four passengers drowned.
1951-1960,1953,1953-03-08,"Sharjah, United Arab Emirates",Orient Airways,Passenger,Sharjah - Bahrain,Douglas DC-3,Douglas,25.0,1.0,"Shortly after taking off, the aircraft entered a turn and crashed to the ground. The failure of the captain to supervise the first officer in flying the plane who was not able to fly on instruments in the dark."
1951-1960,1953,1953-05-08,Off Irish coast,Military - U.S. Air Force,Military,,Boeing B-34,Boeing,23.0,14.0,
1951-1960,1953,1953-08-18,"Near San Diego, California",Aerovias Contreras,Passenger,,Curtiss C-46A,Curtiss,2.0,2.0,The cargo plane flew into a mountain.
1951-1960,1953,1953-01-09,"Near Barcelonnette, France",Air France,Passenger,Paris - Nice - Hong Kong,Lockheed 749A Constellation,Lockheed,42.0,42.0,"While on approach to land at Nice-Cote d' Azur Airport the aircraft crashed into Mt. Cemet in the French Alps. French violinist Jacques Tribaud, 72, among those killed. Navigational error. Pilot deviated from the prescribled route for reasons unknown."
1951-1960,1953,1953-01-09,"Vail, Washington",Regina Cargo Airlines,Cargo,"Monterey, CA - Tacoma, WA",Douglas DC-3,Douglas,21.0,21.0,Crashed 26 nm short of McChord AFB. The pilot's attempt to continue flight under the provisions of VFR during IFR conditions.
1951-1960,1953,1953-08-09,"San Andres, Honduras",TACA,Passenger,San Pedro - San Andres,Douglas C-47A,Douglas,3.0,3.0,After a missed approach the No. 2 engine of the cargo plane failed. Failure of the right engine when the pilot wished to obtain maximum power from both engines after a missed landing.
1951-1960,1953,1953-09-14,"Chablekal, Mexico",Transportes Aéreos Mexicanos,Passenger,Campeche - Mérida,Douglas C-47A,Douglas,2.0,1.0,The cargo plane struck a tower in fog while attempting to land.
1951-1960,1953,1953-09-16,"Albany, New York",American Airlines,Passenger,Boston - Hartford - Albany - Chicago,Convair CV-240-0,Convair,28.0,28.0,"After circling, the aircraft crashed into two radio towers while on approach to Albany Municipal Airport. While the pilot was aligning with the runway, he descended below obstructions partially obscured by fog. Crew's failure to abandon the landing under adverse weather conditions."
1951-1960,1953,1953-09-25,"Ankara, Turkey",Devlet Hava Yollari,Passenger,Ankara - Van,Douglas DC-3,Douglas,21.0,5.0,Crashed to the ground after an engine fire.
1951-1960,1953,1953-09-28,"Louisville, Kentucky",Resort Airlines,Passenger,Philadelphia - Louisville,Curtiss C-46F-1-CU,Curtiss,41.0,25.0,"While the plane was attempting to land it entered a steep climb, stalled and crashed. The structural failure of the left elevator in flight, causing loss of control. This structural failure was brought about by the left outboard hinge bolt backing out of the assembly. The underlying cause was improper maintenance which resulted in the installation of hinge bolts and bearings not meeting specifications, and inadequate inspection which failed to detect this condition."
1951-1960,1953,1953-10-14,"Frankfurt, Germany",Sabena,Passenger,Frankfurt - Brussels,Convair CV-240-12,Convair,44.0,44.0,Loss of engine power on takeoff. The loss of power may possibly be attributed to the heavy deposit of lead on the spark plugs.
1951-1960,1953,1953-10-17,"Lai Chau, Vietnam",Compagnie Sila,Passenger,,Douglas C-47B,Douglas,7.0,2.0,Cargo plane.
1951-1960,1953,1953-10-19,"Near Monterrey, Mexico",Aerovias Contreras,Passenger,Monterrey - Falcon Dam,Douglas C-46A-CU ( DC-3),Douglas,21.0,21.0,Crashed into a ravine.
1951-1960,1953,1953-10-19,"New York City, New York",Eastern Air Lines,Passenger,New York City - San Juan,Lockheed 749A Constellation,Lockheed,27.0,2.0,The aircraft crashed a few seconds after becoming airborne. The captain's loss of visual reference and orientation when he encountered drifting fog shortly after becoming airborne on take-off and the resultant inadvertent assumption of a descending flight path.
1951-1960,1953,1953-10-29,"Near Half Moon Bay, California",British Commonwealth PacifiAirlines,Passenger,Sydney - Honolulu - San Francisco,Douglas DC-6,Douglas,19.0,19.0,"While flying in fog on an approach to San Francisco International Airport, the aircraft crashed into a redwood forest on a mountain ridge, 7.5 miles southeast of Half Moon Bay. The plane struck the ridge of King's Mountain and broke up, scattering wreckage over a half-mile area.  Failure of the crew to follow prescribed procedures for an instrument approach. American pianist, William Kapell, 31, killed."
1951-1960,1953,1953-03-11,"Potosi, Bolivia",Lloyd Aereo Boliviano,Passenger,Camiri - Suere,Douglas DC-3,Douglas,28.0,28.0,"Crashed into Rodeo Pampa mountain during approach, 37 miles from its destination."
1951-1960,1953,1953-11-11,"Off Argyll, England",Military - Royal Air Force,Military,,Avro Shackleton MR-2,Avro,10.0,10.0,
1951-1960,1953,1953-04-12,"Mt. Somosierra, Spain",Aviaco,Passenger,Bilbao - Madrid,Bristol 170 Freighter 21,Bristol,33.0,23.0,Crashed in poor weather conditions.
1951-1960,1953,1953-12-12,"Nagpur, India",Indian Airlines,Passenger,,Douglas DC-3,Douglas,14.0,13.0,"The aircraft experienced loss of control in too steep a turn. Loss of critical height during a steep left hand turn, with the landing gear down, executed by the pilot at an unsafe altitude in an attempt to return to the aerodrome, after experiencing a temporary loss of power of the left engine soon after becoming airborne. A false right engine fire warning precipitated the attempt at a forced landing."
1951-1960,1953,1953-12-19,"Zurich, Switzerland",Sabena,Passenger,,Convair CV-240,Convair,44.0,1.0,Descended below the glide path in poor weather and darkness and crashed 1.5 miles short of the runway. Poor approach procedures performed by the pilot.
1951-1960,1953,1953-12-21,"Dah-el-Kadeeb, Syria",Syrian Airways,Passenger,,Douglas DC-3,Douglas,15.0,9.0,
1951-1960,1954,1954-02-01,"Herat, Afghanstan",Ariana Afghan Airlines,Passenger,,Douglas DC-3,Douglas,21.0,21.0,
1951-1960,1954,1954-05-01,"Lapseki, Turkey",Devlet Hava Yollari,Passenger,Bandirma - Canakkale,Douglas DC-3,Douglas,10.0,4.0,Flew into a mountain.
1951-1960,1954,1954-06-01,"Near Aldbury, England",Military -Royal Air Force,Military,Bovingdon AF - Thorney Island,Vickers Valetta,Vickers,17.0,16.0,The aircraft crashed 4 minutes after taking off in a snow shower. The aircraft lost altitude and crashed to the ground for reasons unknown.
1951-1960,1954,1954-10-01,"Off Elba, Italy",British Overseas Airways,Passenger,Rome - London,de Havilland DH106 Comet 1,de,35.0,35.0,The aircraft broke up in-flight while en route from Rome to London. Metal fatigue due to a design flaw caused a breakup of the aircraft. Second crash with the same cause. The aircraft was nicknamed 'Yoke Peter.'
1951-1960,1954,1954-11-01,"Manizales, Colombia",AVIANCA,Passenger,Medellin - Armenia,Douglas DC-3,Douglas,21.0,21.0,Crashed into a mountain 1 hour after takeoff.
1951-1960,1954,1954-01-13,"Long Beach, California",Military - U.S. Air Force,Military,,F-88 Sabre Jet,F-88,1.0,1.0,The jet fighter crashed into homes killing 6 people and destroying 3 homes while attempting to land.
1951-1960,1954,1954-01-14,"Rome, Italy",Philippine Air Lines,Passenger,,Douglas DC-6,Douglas,16.0,16.0,Crashed in a steep dive while making an IFR landing in turbulence following an engine fire. Probably lost a wing during a pull out from a steep dive.
1951-1960,1954,1954-01-14,"Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Passenger,Praha - Moravska - Ostrava,Douglas DC-3 (C-47A-DK),Douglas,15.0,15.0,Crashed during takeoff.
1951-1960,1954,1954-01-20,"Kansas City, Missouri",Zantop Air Transport,Passenger,,Douglas DC-3A,Douglas,3.0,3.0,The cargo plane crashed while on approach. The loss of control of the aircraft at an altitude too low to effect recovery. The loss of control resulted from an accumulation of ice and the use of de-icer boots at low air speeds.
1951-1960,1954,1954-01-02,"Off Hokkaido, Japan",Military - U.S. Air Force,Military,Misawa - Chitose,Curtiss-Wright C46D-CU,Curtiss-Wright,35.0,35.0,"After reporting a fire in the cargo hold and that a ditching was imminent,  the last message from the aircraft was 'I've lost control of the aircraft we're going in.'"
1951-1960,1954,1954-05-02,"Susitna Valley, Alaska",Military - U.S. Air Force,Military,,Douglas C-47,Douglas,16.0,10.0,"The plane broke apart over the Susitna Valley of South Central Alaska and the scattered parts fell onto Kesugi Ridge, which is now within Denali State Park. Six servicemen wearing parachutes escaped by being thrown from the disintegrating aircraft."
1951-1960,1954,1954-12-02,"Off Gozo, Malta",Military - Royal Air Force,Military,Military exercise,Avro Shackleton MR-2,Avro,10.0,10.0,Crashed at sea while on manuvers.
1951-1960,1954,1954-02-25,"New Delhi, India",Indian Airlines,Passenger,,Douglas DC-3,Douglas,3.0,3.0,The test flight crashed after attempting to determine the cause of a crash at Nagpur on 12/12/1953.
1951-1960,1954,1954-02-26,"Wright, Wyoming",Western Airlines,Passenger,Salt Lake City - Cedar City - Rapid City,Convair CV-240,Convair,9.0,9.0,"After entering an area of severe turbulence and icing, the plane made a rapid descent and struck the ground at high speed. A sudden emergency of undetermined origin under adverse weather conditions resulting in rapid descent and impact with the ground at high speed."
1951-1960,1954,1954-04-03,"Near St. Etienne de Tinee, France",Military - U.S. Air Force,Military,"Tripoli, Libya - Hahn, W Germany",Douglas C-47A-DL,Douglas,20.0,20.0,"The aircraft struck a mountain and disintegrated at an altitude of 8,000 ft. while en route. The accident occurred in snow and low overcast conditions. The plane had drifted off the prescribed course and no wind drift correction had been made."
1951-1960,1954,1954-03-13,"Kallang Airport, Singapore",British Overseas Airways,Passenger,Australia - London,Lockheed 749A-79-33 Constellation,Lockheed,40.0,33.0,"Crashed short of the runway, hit a wall, overturned and caught fire. Improper procedures used in landing.  Pilot fatigue."
1951-1960,1954,1954-03-14,"Off Mackay, Australia",Queensland Airlines,Passenger,,Douglas C-47A,Douglas,2.0,2.0,The cargo plane crashed into the sea while en route.
1951-1960,1954,1954-03-19,"Near Lothian, Maryland",Military - U.S. Air Force,Military,"Oklahoma - Long Island, NY",Fairchild C-110F,Fairchild,18.0,18.0,Crashed to the ground about 20 minutes after leaving Bolling Air Force Base. The aircraft was circling a radio beacon under VFR waiting for IFR clearance. An attempt to maintain VFR flight at night and in poor visibility.  Possible crew fatigue.
1951-1960,1954,1954-03-26,"Monterrey, Mexico",Aeronaves de Mexico,Passenger,Mazatlan - Monterey,Douglas DC-3,Douglas,18.0,18.0,Crashed and burned on Friar's Peak while waiting for permission to land.
1951-1960,1954,1954-03-04,"Adana, Turkey",Devlet Hava Yollari,Passenger,Adana - Istanbul,Douglas DC-3,Douglas,25.0,25.0,Crashed en route approximately 15 minutes after takeoff from Adana.
1951-1960,1954,1954-04-04,"Hanoi, Vietnam",Autrex,Passenger,,Douglas C-54A,Douglas,4.0,4.0,The cargo plane crashed into the Red River while on approach.
