,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
186,1959-06-26,17:35,"Near Varese, Lombardia, 20 miles NW of Milan, Italy",Trans World Airlines,891,Milan - Paris,Lockheed 1649A Starliner,N7313C,1015,68.0,68.0,0,"While flying from Athens to Chicago, the No. 6 and 7 fuel tanks in the right wing exploded during a storm.  Ignition of gasoline vapors emanating from fuel tank vent pipes by statidischarge after the airliner was hit by lightning."
180,1959-08-01,20:32,"Mt. Holston, Tennessee",Southeast Airlines,308,Nashville - Knoxville - Tri-City Aport,Douglas DC-3,N18941,2007,10.0,10.0,0,"The aircraft struck a mountain during an ILS approach to Tri-City Airport. Pilot's failure to identify an intersection properly, resulting in flying 15 miles beyond the outer marker and descending to an alititude too low to clear high terrain. An inoperative compass was not entered into the aircraft log."
187,1959-08-15,16:42,"Calverton, New York",American Airlines,514,Training,Boeing 707-123,N7514A,17641/36,5.0,5.0,0,The crew failed to recognize and correct the development of excessive yaw which caused an unintentional rolling maneuver at an altitude too low to permit complete recovery.
188,1959-09-24,17:20,"Great Sitkin Island, Alaska",Reeve Aleutian Airlines,3,Shemya - Cold Bay - Adak - Anchorage,Douglas C-54B,N63396,10486,16.0,16.0,0,Crashed into a mountain while on approach to Adak. Improper approach. Crew error. Pilot did not fly in accordance with visual flight rules over hazardous terrain.
189,1959-09-29,23:09,"Buffalo, Texas",Braniff Airlines,542,Houston - Dallas,Lockheed 188A Electra,N9705C,1090,34.0,34.0,0,"In-flight separation of the left wing resulted in the aircraft crashing 3 miles southeast of Buffalo, Texas. A design flaw caused an oscillation known as  mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. One of two accidents with the same cause. See 3/17/1960."
190,1959-10-26,20:18,"Santa Maria, California",PacifiAir Lines,308,Los Angeles - Oxnard - Santa Maria - Paso Robles,Douglas C-47A-DL,N67589,19656,19.0,1.0,1,"Moments after rotation the left engine exploded and caught fire. The elevator of the plane hit a 12,000 volt powerline and crash landed upright sliding 65 feet. The only fatality was the first officer who was thrown clear of the accident still strapped to his seat. The number 5 cylinder of the left engine failed leading to an explosion that deformed the left engine's ring cowl to a degree that cause excessive drag and buffeting that made sustained flight impossible. Maintenance records showed the engine had a troubling number of oil leaks."
191,1959-10-29,15:25,"Athens, Greece",OlympiAirways,214,Athens - Thessaloniki,Douglas DC-3,SX-BAD,9491,18.0,18.0,0,Engine failure on takeoff. The plane crashed 5 minutes later. Failure of the gudgeon pin bearing of the No.6 piston of the left engine.
192,1959-10-30,20:40,"Waynesborough, Virginia",Piedmont Airlines,349,"Washington DC - Charlottsville, VA",Douglas DC-3,N55V,20447,27.0,26.0,0,Crashed into Bucks Elbow Mountain during an ILS approach to Charlottesville Airport. Navigational omission resulting in an off course approach. It took thirty-six hours before the lone survivor was rescued.  A navigational omission which resulted in a lateral course error that was not detected and corrected through precision instrument flying procedures. Mental breakdown of captain during flight.
194,1959-11-16,00:55,Gulf of Mexico,National Airlines,967,Tampa - New Orleans,Douglas DC-7B,N4891C,45355,42.0,42.0,0,"The aircraft crashed into the Gulf of Mexico at 29 degrees 13 minutes N, 88 degrees 40 minutes W or about 108 miles east-southeast of New Orleans, while on a flight from Tampa to New Orleans. Sabotage (explosion of a bomb aboard) was strongly suspected but could never be proven due to lack of physical evidence.  There is a possibility that there is a connection between this crash and the National Airlines crash of January 6, 1960. No one was charged in either case."
195,1959-11-24,05:35,"Chicago, Illinois",Trans World Airlines,595,Chicago - Los Angeles,Lockheed L-1049H Super Constellation,N102R,4824,3.0,3.0,8,"Shortly after taking off the plane experienced a fire warning in the No. 2 engine, shut it down and attempted to return to Midway Airport. During the final approach the aircraft banked in excess of 45 degrees and developed an excessive sink rate. When the aircraft reached the tops of trees its wings were nearly level and its nose was raised in a climbing attitude but the descent continued and the plane crashed one quarter of a mile southeast of the airport. The accident was the consequence of manuvering the aircraft during the turn to final approach in such a manner as to cause a rate of sink from which recovery was not possible. Sometime during the turn the flaps were retracted from 60% to 24% causing a loss of lift."
185,1959-12-05,16:13,"Chase, Maryland",Capital Airlines,75,New York City - Atlanta,Vickers Viscount 745D,N7463,287,31.0,31.0,0,"Disintegrated in-flight due to severe turbulence after penetrating a thunderstorm. Icing. A farmhand observed a large chuck of ice fall from the plane seconds before the crash. A second plane crash involving Capital Airlines occurred at Charleston, WV on this same day."
184,1959-12-05,15:29,"Charleston, West Virginia",Capital Airlines,983,Pittsburg - Charleston,Lockheed C-69 Constellation,N2735A,1978,44.0,2.0,0,"The pilot intentionally ground looped the aircraft, which slid down a steep embankment caught fire and burned. Landing too fast on a wet runway under conditions conductive to aquaplaning."
198,1960-01-18,22:19,"Charles City, Virginia",Capital Airlines,20,Washington D.C. - Norfolk,Vickers Viscount 745D,N7462,217,50.0,50.0,0,"The aircraft crashed and burned in a wooded area, striking the ground in a level attitude. The delayed arming of the engine ice-protection systems while flying through icing conditions, causing eventual flame-out of the four engines. This condition existed for sufficient time to cause a drop in battery electrical energy, preventing the unfeathering and relighting of sufficient engines to maintain flight. The aircraft was then dived in an  effort to attain sufficient airspeed to drive the propellers out of the feathered positions by wind-milling.  At the same time, multiple attempts were made to relight one or more engines. Successful relights were either interrupted by auto-feather action initiated by premature advancing of the throttles prior to complete light up of an engine or prevented by insufficient battery electrical energy. No. 4 engine was eventually  relit and the crew had just successfully relit No. 3 engine when the aircraft crashed."
199,1960-01-19,18:47,"Ankara, Turkey",Scandinavian Airlines (SAS),871,Istanbul - Ankara,Sud Aviation Caravelle 1,OY-KRB,014/14,42.0,42.0,0,"While on a flight from Istanbul to Ankara, Turkey the aircraft crashed while on approach to Esenboga Airport, 6 nm short of the runway. The aircraft struck the ground at an elevation of 3,500 ft, between the Ankara mountain range and the airport. An unintentional descent below the authorized minimum flight altitude during final approach to Esenboga Airport for reasons that could not be determined. The aircraft was named Orm Viking."
200,1960-03-17,15:25,"Near Cannelton, 10 mile SE of Tell City, Indiana",Northwest Orient Airlines,710,Chicago - Miami,Lockheed 188C Electra,N121US,1057,63.0,63.0,0,An in-flight separation of the wing. A design flaw caused an oscillation known as whirl mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. Reduced stiffness of the structure and the entry of the aircraft into an area of severe clear air turbulence were contributing factors. One of two crashes with the same cause.  See 9/29/59.
201,1960-03-19,11:10,"Cordoba, Colombia",SAMSA,901,San Andres - Medellin,Curtiss C-46,HK-516,2927/384,46.0,25.0,0,"Forced landing after engine failure. The accident was attributed to an error in judgment by the pilot in deciding to land at an airport which was closed and where no radio aid was available. Contributing factors were intermittent overspeeding of propellers, adverse weather and no communication tower."
210,1960-04-10,17:40,"Boston, Massachusett",Eastern Air Lines,375,Boston - Philadelphia,Lockheed 188A Electra,N5533,1062,72.0,62.0,0,"A few seconds after becoming airborne, the aircraft struck a flock of starlings. A number of these birds were ingested in engines No. 1, 2, and 4.  Engine No. 1 was shut down and its propeller was feathered. Engines No. 2 and 4 experienced a substantial momentary loss of power. This abrupt and intermittent loss and recovery of power resulted in the aircraft yawing to the left and decelerating to the stall speed. As speed decayed during the continued yaw and skidding left turn, the stall speed was reached; the left wing dropped, the nose pitched up, and the aircraft rolled left into a spin and fell almost vertically into the water. An altitude of less than 150 feet precluded recovery."
202,1960-04-19,20:48,"Bogota, Colombia",Lloyd Aereo Colombiano,503,Miami - Medellin - Bogota,Curtiss C-46,HK-390,32954,51.0,37.0,0,Crashed during final approach. The pilot failed to take proper action to counteract the loss of speed and height in the final approach turn. Lack of pilot experience.
197,1960-06-01,02:38,"Wilmington/Bolivia, North Carolina",National Airlines,2511,New York - Miami,Douglas DC-6B,N8225H,43742/300,34.0,34.0,0,"The plane disintegrated in flight at 18,000 feet and crashed 1.5 miles northwest of Bolivia, North Carolina. Detonation of a dynamite bomb by means of dry cell batteries, in the vicinity of row 7, in the passenger cabin.  The plane continued to fly for a short time after which the fuselage came apart and the plane crashed in a ball of flames. Julian Frank, who had purchased 1 million dollars in insurance, was suspected of committing suicide by detonating the bomb in his lap or under his seat. There is a possibility Frank may have been an unwitting bomb carrier and that this bombing has something to do with the National Airlines crash of November, 16, 1959. No one was charged in either case."
203,1960-06-14,04:47,"Mt. Gilbert, Alaska",PacifiNorthern Airlines,201,Cordova - Anchorage,Lockheed 749A-79-32 Constellation,N1554V,2555,14.0,14.0,0,"The aircraft failed to maintain its intended flight path and  crashed into the face of Mt. Gilbert at 9,646 ft. after taking off from Cordova. The crew's failure to use all available  navigational aids in establishing the aircraft's position on Amber I Airway thereby allowing the aircraft  to proceed off course over dangerous terrain. A contributing factor to the  accident was the failure of air defense radar, which had been tracking the aircraft, to notify either  ARTCC or the crew that the aircraft was proceeding on a dangerous course."
204,1960-07-14,04:30,"Off Manila, Philippines",Northwest Orient Airlines,1-11,Okinawa - Manila,Douglas DC-7C,N292,45462/925,58.0,1.0,0,"After a loss of power in the No. 2 engine the crew was unable to feather the prop. An emergency descent was made and the plane ditched into the ocean. Upon contact with the water, the aft end of the fuselage broke free at the rear of the pressure bulkhead, the right wing  tore free and the engines separated. The wing floated for 3hrs, serving as a life raft for  passengers. The remainder of the fuselage, sank some 10 minutes after impact.  Passengers were rescued 6 hours after the accident. Failure of No. 2  engine, resulting in oil contamination, loss of oil supply, subsequent loss of the No. 2 propeller assembly and fire-in-flight, which necessitated a ditching."
205,1960-07-15,09:40,"Near Jima, Ethiopia",Ethiopian Airlines,372,Bulchi - Jimma,Douglas DC-3,ET-T-18,12926,11.0,1.0,0,"Crashed onto a mountainside at 9,000 ft. The pilot misjudged the weather conditions and continued to fly into deteriorating weather conditions while trying to maintain VFR. The pilot attempted to climb at a speed below the minimum safe climbing speed of the aircraft."
206,1960-08-29,06:50,"Off Dakar, Senegal",Air France,343,Paris - Dakar,Lockheed 1049G Super Constellation,F-BHBC,4622,63.0,63.0,0,"The aircraft crashed into the AtlantiOcean after an unsuccessful landing attempt. Cause undetermined. Possible structural failure or loss of control due to turbulence, sensory illusion or distraction of the flight crew which could have been associated with a lightning strike."
207,1960-09-19,06:02,"Agana, Guam, Mariana Islands",World Airways,830/18,Guam - Wake Island,Douglas DC-6AB,N90779,44914/646,94.0,80.0,0,"The aircraft was carrying American servicemen and dependants. Less than a minute after taking off, the aircraft crashed on Mt. Barrigada bursting into flames on impact. The casualties were more attributable to the effects of the fire than the crash. Failure of the pilot to comply with published departure procedures by initiating a right turn before attaining an altitude of 1,000 ft."
208,1960-09-26,23:40,"Moscow, Russia",Austrian Airlines,901,Warsaw - Moscow,Vickers Viscount 837,OE-LAF,437,37.0,31.0,0,"Crashed on approach to Moscow, 11 nm short of the runway. Malfunctioning or misread altimeter."
209,1960-09-29,12:15,"Off Elba, Italy",United Arab Airlines,738,Geneva - Rome,Vickers Viscount 739B,SU-AKW,427,21.0,21.0,0,Crashed  into the Tyrrhenian Sea off Elba after penetrating severe thunderstorm.
211,1960-10-28,11:39,"Near Missoula, Montana",Northwest Orient Airlines,104,Spokane - Missoula,Douglas C-54A-DC,N48762,10320,12.0,12.0,0,"Crashed into mountains in snow showers while descending to Missoula. The aircraft entered a steep left banking turn and the nose was raised in an apparent attempt to turn and climb out through an intersecting valley, however, the aircraft continued to sink toward the ground, rolled to the left and crashed inverted. The failure of the pilot to continue in accordance with his IFR flight plan by attempting a VFR approach during instrument weather conditions."
214,1960-12-16,10:33,"Staten Island / Brooklyn, New York",United Air Lines / Trans World Airlines,826/266,Chicago - New York City / Columbus - New York City,MD DC-8-11 / Lockheed  1049 S Const,N8013U/N6907C,45290 /4021,128.0,128.0,6,"A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four passengers on the Constellation and eight-four passengers on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance."
215,1960-12-22,12:31,"Cebu City, Philippines",Philippine Air Lines,S85,Cebu - Davao,Douglas DC-3,PI-C126,20593,37.0,28.0,0,Crashed on takeoff. Failure of the No. 1 engine shortly after take-off but after V2. Inappropriate emergency procedures by crew.
224,1961-01-09,02:05,"Near Hinsdale, Illinois",Trans World Airlines,529,Chicago - Las Vegas,Lockheed 049 Constellation,N86511,2035,78.0,78.0,0,The aircraft crashed and burned in a field 10 miles west of Midway Airport. The airliner had taken off from Midway headed for Las Vegas. Loss of a 5/16 inch steel bolt from the elevator boost system which caused the elevator to move to its full upward position creating a stall and loss of control of the aircraft.
217,1961-01-19,20:25,"New York, New York (Idlewild)",Aeronaves de Mexico,401,New York - Mexico City,McDonnell Douglas DC-8-21,XA-XAX,45432/105,106.0,4.0,0,"An aborted takeoff caused the aircraft to crash through the airport barrier fence and burst into flames. The unnecessary discontinuance of the takeoff as a result of actions by the check-pilot who was either not in the pilot's seat or reached forward without warning and pulling the throttles back. This action caused power to be decreased on all four engines. Contributing factors were the marginally poor weather, snow on the runway and the possibility of the pitot head heat not being on."
218,1961-01-24,02:48,"Mt. Burangrang, Indonesia",Garuda Indonesia Airlines,424,Jakarta - Bandung,Douglas DC-3,PK-GDI,19672,21.0,21.0,0,The aircraft struck Mt. Burangrang . Attempt by the pilot to fly over mountainous terrain when unsure of his position and in weather conditions which severely restricted visibility.
220,1961-02-15,10:05,"Near Brussels, Belgium",Sabena,548,New York City - Brussels,Boeing B-707-320,OO-SJB,17624/92,72.0,72.0,1,"The aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1,500 ft. The aircraft completed 3 left-hand circles. Its attitude increased until it nosed down and crashed. The entire eighteen member U.S. Figure Skating team killed.  Failure of the aircraft's flying controls, possibly jamming of the outboard ailerons or unwanted extension of the spoilers."
216,1961-03-01,07:40,"Koivulahti, Finland",Finnair,311,Kokkola - Vaasa,Douglas DC-3,OH-LCC,14066/25511,25.0,25.0,0,"Crashed into woods while attempting to land. Both pilots tested positive for alcohol.  In addition, the pilot did not have enough sleep the night before and was not considered to be in satisfactory mental and physical condition to undertake the flight."
219,1961-03-02,23:55,"Off Surabaya, Indonesia",Garuda Indonesia Airlines,542,Surabaya - Balikpapan,Douglas DC-3,PK-GDY,13052,26.0,26.0,0,Disappeared while en route. The wreckage was never found. It is believed the aircraft crashed into the sea off the island of Madura.
212,1961-03-04,23:57,"Llico, Chile",LAN,210,Temuco - Santiago,Douglas DC-3,CC-CLD-P210,9716,24.0,24.0,0,The plane crashed into La Gotera Hill while on approach to Santiago. The official cause is unknown.  Icing suspected. All members of the Green Cross Chilean soccer team killed.
221,1961-05-30,01:20,"Near Lisbon, Portugal",KLM Royal Dutch Airlines,897,"Rome  - Lisbon -  Madrid - Santa Maria, Azores -Caracas",McDonnell Douglas DC-8-53,PH-DCL,45615,61.0,61.0,0,"Five minutes after taking off from Lisbon, Portugal, the aircraft plunged into the AtlantiOcean. There were indications from the wreckage that the aircraft went into a spiral dive and hit the water at over 500 mph. Either through inattentiveness or loss of an artificial horizon or other instrument malfunction, the aircraft went into a steep left bank from which recovery was not possible. Attitude of the aircraft at the moment of impact pointed to over correction."
227,1961-08-11,21:24,"Near Richmond, Virginia",Imperial Airways,201/8,Baltimore - Columbia SC,Lockheed C-69 Constellation,N2737A,1976,79.0,77.0,0,"Flown under a military contract, several procedural errors by the crew caused the loss of 2 engines. After several more errors, the aircraft crashed into a wooded area. Most deaths from post-impact fire and CO.  Lack of command coordination and decision, faulty judgement and insufficient knowledge that led to an emergency situation. In addition there were faulty maintenance procedures. The carrier's license was revoked 6 weeks after the crash."
226,1961-09-17,08:57,"Chicago, Illinois",Northwest Orient Airlines,706,Chicago - Tampa,Lockheed 188C  Electra,N137US,1142,37.0,37.0,0,"Takeoff and Initial climb appeared to be normal, but at approximately 200 feet a shallow turn to the right continued into a gradually increasing bank of about 85 to 90 degrees. While in the turn, the crew made a short, garbled transmission indicating alarm. During the latter part of the turn a gradual descent began and, two minutes after taking off, the aircraft struck the ground. Mechanical failure in the aileron primary control system due to an improper replacement of the aileron boost assembly, resulting in a loss of lateral control of the aircraft at an altitude too low to effect recovery."
213,1961-10-05,02:30,"Stah, Algeria",Air France,406,"Fort Lamy, Chad - Marseilles, France",Lockheed 1649A Starliner,F-BHBM,1027,78.0,78.0,0,"While en route from Fort Lamy, Chad to Marseilles, France, the airliner crashed and burned in the Sahara Desert on the Algeria / Libya border. Detonation of a nitrocellulose bomb."
223,1961-11-07,11:36,"Denver, Colorado",United Air Lines,859,Omaha - Denver,McDonnell Douglas DC-8-12,N8040U,45307,122.0,17.0,1,"Following takeoff from Omaha, hydraulidifficulties were experienced. The flight was continued to Denver where the aircraft experienced asymmetrical reverse thrust while landing and crashed into a maintenance truck and burned. Asymmetrical thrust during the landing attempt due to a hydrauliemergency.  Numbers 1 & 2 thrust reversers failed.  The crew failed to activate the back-up high-pressure air bottle used to hold the reverse ejectors in the extended position during a hydrauliemergency.  Poor evacuation procedures.  A contributing factor was the  failure of the first officer to monitor the thrust reverse indicator lights when applying reverse thrust and the crew's lack of training and knowledge on the aircraft's hydraulisystem. The driver of the maintenance truck was killed."
222,1961-12-06,04:11,"Cairo, Egypt",KLM Royal Dutch Airlines,823,Rome - Cairo,Lockheed L-188C Electra,PH-LLM,2019,36.0,20.0,0,"Crashed into power lines during the approach, 4 km short of the runway. Crew's neglect to cockpit duties."
225,1961-12-09,22:09,"Near Rabat, Morrocco",Air France,2005,Paris - Rabat,Sud-Aviation Caravelle III,F-BJTB,068,77.0,77.0,0,"The aircraft crashed and burned while attempting to land at Sale Airport. With its landing gear down and flaps partially extended, the plane struck the ground in a slight nose-down attitude. Possible misread altimeter."
228,1962-01-03,10:09,"Jamaica Bay, New York, New York",American Airlines,1,New York City - Los Angeles,Boeing B-707-123B,N7506A,17633/12,95.0,95.0,0,"After taking off from Idlewild Airport and reaching a height of 1,500 feet, the aircraft made a left turn but continued to roll until it was inverted and crashed into Jamaica Bay approximately 3 miles southwest of the control tower. A rudder control malfunction which caused  a full unwanted rudder deployment, yaw, sideslip and roll which led to loss of control of the aircraft. This was caused by the use of an improper tool at the manufacturing plant to wrap the rudder servo unit's wiring, damaging the wires and leading to a short circuit. There is speculation that the accident was actually caused by the captain putting the aircraft in a steep 45 degree bank which resulted in the loss of control of the aircraft."
230,1962-03-15,01:14,"Adak, Alaska",Flying Tiger Line,7816,"Cold Bay, AK - Adak, AK",Lockheed 1049H Super Constellation,N6911C,4804,7.0,1.0,0,"Crashed into a rock embankment, 328 ft. short of runway threshold while attempting to land on Runway 23 and after being warned by ATC that the plane was below the glidepath. The main gear and right wing separated from the plane and a fire ensued. The pilot's misjudgment of distance and altitude during the final approach."
231,1962-03-15,00:30,"Western PacifiOcean, Philippine Sea",Flying Tiger Line,739/14,"Travis AFB - Honolulu - Agana, Guam - Clark AFB -Saigon",Lockheed 1049H Super Constellation,N6921C,4817,107.0,107.0,0,"Lost at sea while en route from Guam to the Philippines. The crew of the SS T.L. Lenzen supertanker sighted a midair explosion at 00:30 local time, from their position at 13 degrees 44' N, 134 degrees 49' E.  The subsequent search of over 144,000 square miles found nothing. Cause undetermined."
229,1962-04-03,18:20,"Douala, Cameroon",Caledonian Airways,153,Douala - Lisboa,Douglas DC-7C,G-ARUD,45160/754,111.0,111.0,0,The aircraft had a unusually long take-off run and appeared to gain altitude with difficulty. One and one-half miles from the runway the aircraft struck trees and crashed into a tidal swamp and burst into flames.  A jammed right elevator spring tab caused the crew to lose of control of the aircraft.
232,1962-05-22,21:21,"Near Unionville, Missouri",Continental Airlines,11,"Chicago - Kansas City, MO",Boeing B-707-124,N70775,17611/49,45.0,45.0,0,"While en route from Chicago to Kansas City the airliner fell from FL 390 and crashed 6 miles north-northwest of Unionville, Missouri after an explosion aboard caused separation of the tail section. Detonation of a dynamite bomb in the right rear lavatory in the towel bin under the wash basin. This is the first case of sabotage on a commercial jet airliner. The bomb was believed to have been carried aboard by a passenger in a suicide-for-insurance plot."
243,1962-06-12,17:00,"Barranca Bermeja, Colombia",Taxader Airlines,209,Bucaramanga - Barrancabermeja,Douglas C-47,HK-437E,4697,26.0,24.0,0,Crashed in heavy rain while en route. Pilot error. Flight under VFR in IFR conditions.
233,1962-06-22,04:01,"Basse-Terre, Guadaloupe, West Indies",Air France,117,Paris - Pointe-a Pitre - Santaigo,Boeing B-707-328,F-BHST,18247/274,112.0,112.0,0,"The aircraft crashed into a 1,400 ft. hill while on approach, 15 miles from the runway threshold. Nonfunctioning VOR station. Insufficient meteorological information given to the flight crew. Malfunctioning automatidirection finder due to the effects of poor atmosphericonditions. The aircraft was named Chateau de Chantilly."
234,1962-07-07,23:59,"Near Junnar, Maharashtra, India",Alitalia,771,Bangkok - Bombay,McDonnell Douglas DC-8-43,I-DIWD,45631/160,94.0,94.0,0,"The aircraft crashed into a hill near Bombay, India, at an elevation of 3,600 ft. 50 miles ENE of the airport. Navigational error.  Premature descent. Crew did not use navigational facilities available."
235,1962-07-19,15:45,"Near Bangkok, Thailand",United Arab Airlines,869,Hong Kong - Bangkok,de Havilland Comet 4C,SU-AMW,06464,26.0,26.0,0,"Crashed into a jungle on the side of a mountain, 52 nm from the Bangkok airport while on approach. Premature descent. Navigational error."
236,1962-07-22,23:19,"Honolulu, Hawaii",Canadian PacifiAir Lines,323,"Honolulu - Nadi, Fiji",Bristol Britannia 314,CF-CZB,13394,40.0,27.0,0,"Shortly after takeoff, a fire warning indication caused the pilot to feather the propeller on the No. 1 engine. Fuel was jettisoned, and the flight returned to Honolulu for landing approximately 40 minutes after departure. The three-engine landing approach appeared normal until the aircraft had proceeded beyond the runway threshold and had commenced its landing flare at an altitude of approximately 20 feet above the runway centerline. A go-around was attempted from this position and the aircraft banked and veered sharply to the left. Initial ground contact was made by the left wing tip approximately 550 feet to the left of the runway centerline. The aircraft progressively disintegrated as it  moved across the ground, then struck heavy earth-moving-equipment parked approximately 970 feet from the runway centerline. The accident was caused by the attempted three-engine go-around, when the aircraft was in a full landing configuration, at insufficient airspeed and altitude to maintain control."
237,1962-09-23,21:00,North AtlantiOcean,Flying Tiger Line,923,"Gander, Newfoundland - Frankfurt, Germany",Lockheed 1049H-82 Super Constellation,N6923C,4827,76.0,28.0,0,"A fire developed in the No. 3 engine. A few minutes later, the propeller of the No. 1 engine oversped and the flight engineer inadvertently closed the firewall shutoff valve to the No. 1 engine. The No. 1 engine was then shut down. The No. 2 engine then developed mechanical trouble. The plane ditched at sea approximately 560 nm W of Shannon, Ireland. Failure of 2 of the 4 aircraft's engines and the improper action of the flight engineer which disabled a 3rd engine necessitating a ditching at sea."
238,1962-10-19,20:52,"Windsor Locks, Connecticut",Allegheny Airlines,928,"Washington D.C. - Providence, RI",Convair CV-340/440,N8415N,125,52.0,1.0,0,"Following departure from Philadelphia, a high frequency whistling noise was heard and inspection revealed an escape of air at the lower aft corner of the rear service door. Pillow cases were placed in this area to reduce the air noise but no further action was taken. While the aircraft was descending through 4,000 feet the door blew out. The ensuing outward rush of air ejected a flight attendant who was near the door opening. Undetected insecure latching of the rear service door, resulting in an inflight explosive decompression which ejected a flight attendant from the aircraft."
239,1962-11-23,12:24,"Ellicott, Maryland",United Air Lines,297,Newark - Washington D.C.,Vickers Viscount 745D,N7430,128,18.0,18.0,0,"The aircraft penetrated a flock of Whistling Swans at 6,000 ft. One, estimated to be 13 pounds, struck the leading edge of the left horizontal stabilizer, weakening the structure and causing it to detach. The aircraft lost control and broke-up in mid-air and crashed. Bird collision."
240,1962-11-23,14:10,"Le Bourget, France",Malev Hungarian Airlines,355,Frankfurt - Paris,Ilyushin IL-18D,HA-MOD,180002002,21.0,21.0,0,"Stalled and crashed during approach, 0.5 miles from the outer marker. Cause undetermined."
241,1962-11-27,03:40,"Lima, Peru",Varig,810,Porto Alegre - Lima,Boeing B-707-441,PP-VJB,17906/129,97.0,97.0,0,"After initiating an overshoot procedure, at the suggestion of the control tower, because it was too high, the aircraft proceded to start another approach when it crashed into La Cruz Peak. Possible misinterpretation of navigation instruments."
242,1962-11-30,21:45,"New York, New York",Eastern Air Lines,512,Charlotte - New York City,Douglas DC-7B,N815D,45084/711,51.0,25.0,0,"The aircraft was 1,000 ft past the ILS touchdown point and at an altitude of 25 ft. when a loss of visual reference caused the crew to abandon their approach. The landing gear was retracted, 20 degrees flaps selected and climb power applied.  At 3,500 ft. from the threshold, in a 6 degree left bank and speed of 135 knots the No. 1 and 2 propellers struck the ground. The aircraft hit a mound of earth and broke up. Crew failed to follow approved procedures. Technique employed by the crew during abandonment of the approach under fog conditions that were not adequately reported."
244,1962-12-14,22:12,"Burbank, California",Flying Tiger Line,183,Chicago - Burbank,Lockheed 1049H Super Constellation,N6913C,4810,5.0,5.0,3,The aircraft crashed during an ILS approach to Burbank Airport. Incapacitation of the captain with a heart attack at a critical point in the approach from which the co-pilot could not recover.
247,1963-01-02,17:15,"Ankara, Turkey",Middle East Airlines / Military - Turkish Air ForceC-47,265,Nicosia - Ankara,Vickers Viscount 754D,OD-ADE,244,17.0,17.0,87,"Midair collision between a civilian and military aircraft. Both planes crashed into a heavily populated area destroying buildings, houses and vehicles. Fourteen killed on the Viscount, three on the C-47 and 87 on the ground. Cause attributed to a military flight training zone extending into the approach pattern associated with civilian aircraft. The Viscount aircraft had an IFR flight plan but was cruising under VFR conditions and did not see the C-47 until it was too late."
245,1963-01-17,15:53,"Great Salt Lake, Utah",West Coast Airlines,703,Training,Fairchild F-27,N2703,6,3.0,3.0,0,Crashed into the Great Salt Lake while practicing an emergency decent during training. Crews lack of vigilance for undetermined reason.
246,1963-01-29,22:44,"Kansas City, Missouri",Continental Airlines,290,"Midland, TX - Kansas City, MO",Vickers Viscount 812,N242V,356,8.0,8.0,0,"While making a straight in approach, the aircraft continued flying over the runway to the south end and while at a height of 90 feet, suddenly pitched down and struck the ground. Icing of the horizontal stabilizer which led to loss of pitch control."
249,1963-02-03,10:02,"Near Davao City, Philippines",Philippine Air Lines,984,Cotabato - Davao,Douglas DC-3,PI-C489,16115/32863,27.0,27.0,0,"Crashed into Mt. Boca during descent for landing. Limited visibility, crosswinds contributing to navigational error."
253,1963-02-07,15:49,"Rochester, New York",Mohawk Airlines,112,Rochester - Newark,Martin 404,N449A,14140,43.0,7.0,0,The pilot lost control of the aircraft while attempting to take off in a thunderstorm and crashed.  Poor decision by pilot-in-command  to take off during a severe thunderstorm.
252,1963-03-06,10:16,"PacifiOcean, 116 miles WSW of Annette Island, Alaska",Northwest Orient Airlines,293,McChord AFB - Elmendorf AFB,Douglas DC-7CF,N290,45209/861,101.0,101.0,0,"The aircraft was being flown under contract to the military. While en route, the aircraft crashed into the sea.  The last known message was a request to ascend from 14,000 ft. to 18,000 ft. The last known position was 54 degrees 14 minutes N, 134 degrees 41 minutes W. Unable to determine the probable cause due to lack of evidence."
254,1963-03-07,09:09,"Mt. Ngatamahinerua, New Zealand",New Zealand National Airways,441,Auckland - Whenuapai - Tauranga,Douglas DC-3,ZK-AYZ,15204/26889,23.0,23.0,0,"Crashed  while on a descent to Tauranga the aircraft experienced heavy rain, turbulence and extreme downdrafts on the lee side of a mountain. The plane crashed into the Kaimai Range at 2,460 ft., just 300 feet below the nearest summit. Premature descent by the pilot-in-command. Misleading forcast. Lack of DME equipment at the airport."
